anny;districte;barri;senseDones;primarisDones;secundarisDones;mitjansDones;superiorsDones;senseHomes;primarisHomes;secundarisHomes;mitjansHomes;superiorsHomes
2012;2;9. la Nova Esquerra de l'Eixample;1612;4721;4895;7123;9573;921;2848;3929;7204;8452
2012;2;10. Sant Antoni;1383;3775;3436;4272;5423;745;2716;3096;4591;4683
2012;3;11. el Poble Sec - AEI Parc Montjuic;1946;5157;3697;3615;4081;1232;5302;4005;4006;3252
2012;3;12. la Marina del Prat Vermell - AEI Zona Franca;113;185;84;43;13;97;187;128;45;13
2012;3;13. la Marina de Port;1783;4150;2935;2764;1703;1192;3726;3123;2986;1279
2012;3;14. la Font de la Guatlla;430;1139;954;1085;1199;245;890;915;1215;978
2012;3;15. Hostafrancs;683;1828;1554;1615;1795;420;1670;1472;1728;1502
2012;3;16. la Bordeta;837;2235;1920;1994;1681;509;1738;1862;2207;1301
2012;3;17. Sants - Badal;1198;3060;2395;2525;2461;715;2508;2343;2658;1897
2012;3;18. Sants;1645;4383;3748;4420;5236;1041;3704;3573;4758;4167
2012;4;19. les Corts;1295;3373;3764;5987;7626;831;2294;2913;5703;7240
2012;4;20. la Maternitat i Sant Ramon;834;2014;2019;2872;3536;513;1261;1633;2897;3275
2012;4;21. Pedralbes;202;535;781;1649;2215;173;240;441;1275;2402
2012;5;22. Vallvidrera, el Tibidabo i les Planes;122;242;280;479;706;84;211;274;479;641
2012;5;23. Sarria;513;1138;1536;2862;4829;336;571;1041;2510;4439
2012;5;24. les Tres Torres;241;584;919;2284;3139;194;247;533;1650;3228
2012;5;25. Sant Gervasi - la Bonanova;427;1057;1602;3452;4840;290;501;977;2696;4591
2012;5;26. Sant Gervasi - Galvany;751;2036;3012;6814;9345;528;908;1778;4922;9057
2012;5;27. el Putxet i el Farro;516;1422;2012;3900;5965;361;1016;1537;3347;5174
2012;6;28. Vallcarca i els Penitents;468;1103;1283;1857;2601;250;722;1072;1892;2103
2012;6;29. el Coll;304;619;657;842;914;186;503;589;892;711
2012;6;30. la Salut;407;932;1136;1603;2233;288;575;886;1648;1812
2012;6;31. la Vila de Gracia;1560;4097;3811;5517;9921;848;3025;3408;5619;7448
2012;6;32. el Camp d'en Grassot i Gracia Nova;1004;2746;2990;4121;5796;587;1684;2499;4280;4718
2012;7;33. el Baix Guinardo;1106;2509;2522;3074;3315;608;1631;2203;3207;2623
2012;7;34. Can Baro;514;936;878;962;911;308;765;850;1020;710
2012;7;35. el Guinardo;1399;3518;3514;4305;4192;814;2402;3167;4511;3309
2012;7;36. la Font d'en Fargues;340;828;884;1040;1133;240;558;849;1192;962
2012;7;37. el Carmel;2723;3939;3558;2792;1528;1811;3705;3834;2792;1121
2012;7;38. la Teixonera;803;1276;1211;1090;730;529;1245;1314;1147;513
2012;7;39. Sant Genis dels Agudells;511;796;691;690;525;310;745;694;685;422
2012;7;40. Montbau;362;618;475;510;536;171;401;441;546;374
2012;7;41. la Vall d'Hebron;232;547;494;585;700;155;420;472;667;535
2012;7;42. la Clota;33;43;48;35;41;20;63;40;38;21
2012;7;43. Horta;1626;2994;2501;2861;2475;1040;2616;2505;3069;1795
2012;8;44. Vilapicina i la Torre Llobeta;1383;2978;2740;2812;2279;844;2165;2538;2973;1653
2012;8;45. Porta;1679;3166;2498;2406;1699;1112;2759;2627;2602;1168
2012;8;46. el Turo de la Peira;1122;2246;1598;1423;854;641;1741;1602;1477;608
2012;8;47. Can Peguera;224;349;230;172;72;135;305;219;183;44
2012;8;48. la Guineueta;1014;1954;1598;1499;1052;626;1436;1576;1688;784
2012;8;49. Canyelles;557;1067;802;540;347;392;940;784;601;222
2012;8;50. les Roquetes;1487;2131;1718;1127;507;1002;2255;1861;1084;347
2012;8;51. Verdun;1091;1734;1389;1049;523;671;1592;1367;966;360
2012;8;52. la Prosperitat;2395;3351;2795;2367;1182;1486;3138;3064;2313;824
2012;8;53. la Trinitat Nova;751;1123;810;514;194;424;1128;892;488;158
2012;8;54. Torre Baro;222;328;192;78;52;187;368;230;91;37
2012;8;55. Ciutat Meridiana;735;1699;1058;662;239;567;1896;1277;630;166
2012;8;56. Vallbona;113;210;105;80;47;64;215;131;78;36
2012;9;57. la Trinitat Vella;691;1323;987;689;414;542;1732;1267;803;268
2012;9;58. Baro de Viver;224;371;236;130;53;128;363;263;142;50
2012;9;59. el Bon Pastor;771;1642;1179;973;642;575;1903;1436;1075;490
2012;9;60. Sant Andreu;2396;5984;5559;6241;5600;1522;4562;5354;7135;4087
2012;9;61. la Sagrera;1250;3289;3208;3280;2701;773;2511;2935;3516;2037
2012;9;62. el Congres i els Indians;690;1609;1389;1622;1454;362;1098;1310;1701;1059
2012;9;63. Navas;887;2416;2261;2526;2225;513;1590;2121;2711;1807
2012;10;64. el Camp de l'Arpa del Clot;1499;3923;3847;4345;4509;837;2858;3502;4788;3712
2012;10;65. el Clot;1034;2716;2746;2958;2806;617;2218;2717;3339;2247
2012;10;66. el Parc i la Llacuna del Poblenou;517;1321;1271;1572;1931;321;1026;1202;1650;1641
2012;10;67. la Vila Olimpica del Poblenou;163;323;514;888;1965;107;245;483;917;1886
2012;10;68. el Poblenou;1309;2927;2746;3223;3968;791;2634;2862;3637;3357
2012;10;69. Diagonal Mar i el Front Maritim del Poblenou;433;863;823;1144;2027;243;673;869;1298;1865
2012;10;70. el Besos i el Maresme;1872;2911;2366;1681;924;1300;3975;2809;1729;760
2012;10;71. Provencals del Poblenou;1010;2084;2006;2022;1773;655;1847;2044;2251;1459
2012;10;72. Sant Marti de Provencals;1595;3379;2718;2634;1930;881;2576;2702;2880;1511
2012;10;73. la Verneda i la Pau;2215;3788;3233;2682;1514;1419;3289;3316;2887;1114
2011;1;1. el Raval;2268;5977;3574;3289;4117;1881;9131;456;3846;3907
2011;1;2. el Barri Gotic;645;14;1099;1532;2423;579;239;1493;193;234
2011;1;3. la Barceloneta;1186;1975;1326;1188;1491;754;1941;16;1371;1282
2011;1;4. Sant Pere, Santa Caterina i la Ribera;1091;2097;1533;2025;3461;760;2413;174;2232;2994
2011;2;5. el Fort Pienc;1173;2848;2863;3623;4694;872;2303;2428;3783;4108
2011;2;6. la Sagrada Familia;2184;5257;4927;5761;7422;1398;3348;4243;6;611
2011;2;7. la Dreta de l'Eixample;1274;2831;3111;519;8632;879;1534;2298;4579;7732
2011;2;8. l'Antiga Esquerra de l'Eixample;1293;3023;332;5034;7708;857;1766;2486;4696;6922
2011;2;9. la Nova Esquerra de l'Eixample;2088;4982;5119;6774;9117;1329;3031;4135;682;8106
2011;2;10. Sant Antoni;1681;3982;3532;4102;5157;998;2792;309;4381;4495
2011;3;11. el Poble Sec - Parc Montjuic;2266;534;3593;3419;378;1464;531;386;3777;3108
2011;3;12. la Marina del Prat Vermell - Zona Franca;128;194;81;43;13;100;191;126;38;11
2011;3;13. la Marina de Port;2069;4302;2889;2571;1603;1516;3935;2997;2811;1235
2011;3;14. la Font de la Guatlla;525;1215;975;1023;1132;332;905;923;1157;933
2011;3;15. Hostafrancs;828;1879;154;1524;1661;544;1685;1489;1648;1448
2011;3;16. la Bordeta;1018;2326;1942;1844;1542;686;1824;1861;2054;1213
2011;3;17. Sants - Badal;1404;3183;2443;2354;2267;943;2628;2281;2516;1805
2011;3;18. Sants;1986;4635;387;4122;4931;1362;4096;3634;4562;3921
2011;4;19. les Corts;173;3572;4038;5622;7292;1259;2622;3133;5335;7043
2011;4;20. la Maternitat i Sant Ramon;1058;2117;2089;2697;3394;738;1365;167;269;3244
